seqnames	start	end	width	strand	Conc	Conc_MB6	Conc_Ctrl	Fold	p.value	FDR	NearestGene	DistanceToNearest
chr17	7738472	7739327	856	*	6.72	7.11	6.19	0.92	1.21e-05	0.00377	DNAH2	1410
chr6	41754735	41755539	805	*	6.96	7.28	6.53	0.75	1.23e-05	0.00381	PRICKLE4; TOMM6	0
chr22	41252244	41253491	1248	*	6.54	6.91	6.03	0.88	1.25e-05	0.00387	ST13; XPNPEP3	0
chr6	32939308	32940375	1068	*	7.74	8.15	7.17	0.98	1.27e-05	0.00389	BRD2; XXbac-BPG181M17.6	0
chr19	45542120	45542986	867	*	5.57	5.92	5.09	0.83	1.29e-05	0.00394	CLASRP	0
chr1	111991273	111992418	1146	*	6.63	6.9	6.3	0.6	1.29e-05	0.00394	WDR77; ATP5F1	0
chr12	108908569	108909491	923	*	7.24	7.5	6.93	0.57	1.3e-05	0.00394	FICD	0
chr6	31830206	31831015	810	*	6.62	6.97	6.16	0.81	1.3e-05	0.00394	NEU1; SLC44A4	0
chr15	78504925	78505416	492	*	3.97	4.52	3.09	1.43	1.31e-05	0.00394	ACSBG1	0
chr17	17399099	17400591	1493	*	6.58	6.96	6.05	0.91	1.31e-05	0.00394	RASD1	0
chr17	40985050	40985934	885	*	5.46	5.82	4.96	0.87	1.32e-05	0.00395	BECN1; PSME3	0
chr2	206399658	206400126	469	*	4.88	4.24	5.33	-1.09	1.32e-05	0.00395	PARD3B	0
chr1	236260339	236260831	493	*	6.11	6.42	5.71	0.72	1.33e-05	0.00395	RP4-764D2.1	12529
chr17	4045856	4046610	755	*	6.51	6.86	6.05	0.8	1.33e-05	0.00395	ZZEF1; CYB5D2	0
chr2	161146408	161146820	413	*	3.41	2.08	4.09	-2.02	1.34e-05	0.00396	RBMS1	0
chr17	25620828	25621871	1044	*	7.01	7.3	6.65	0.65	1.35e-05	0.00396	MIR4522; WSB1	0
chr19	45946053	45946904	852	*	5.69	6.05	5.22	0.83	1.36e-05	0.00399	ERCC1	0
chr19	18529847	18530435	589	*	5.84	6.28	5.2	1.08	1.38e-05	0.00401	SSBP4	0
chr16	33963051	33963448	398	*	6.81	7.17	6.32	0.84	1.38e-05	0.00401	LINC00273	548
chr19	33792876	33794079	1204	*	7.73	8.14	7.14	1	1.4e-05	0.00406	CEBPA; AC008738.1; CEBPA-AS1; CEBPA-AS1	0
chr1	152020301	152021208	908	*	7.57	7.83	7.25	0.58	1.43e-05	0.00412	S100A11	0
chr3	56590872	56591886	1015	*	7.15	7.41	6.83	0.57	1.44e-05	0.00412	CCDC66	0
chr19	50379595	50381491	1897	*	7.99	8.36	7.5	0.85	1.45e-05	0.00416	AKT1S1; TBC1D17	0
chr17	27046321	27047371	1051	*	6.59	6.91	6.17	0.74	1.46e-05	0.00418	RPL23A	0
chr3	158308739	158309273	535	*	4.24	4.77	3.38	1.4	1.51e-05	0.0043	MLF1	0
chr5	109274695	109275363	669	*	6.43	6.72	6.06	0.67	1.52e-05	0.00431	PGAM5P1	53571
chr15	87177258	87177645	388	*	3.32	2.08	3.97	-1.89	1.53e-05	0.00432	AGBL1	0
chr19	51227567	51228617	1051	*	7.06	7.45	6.53	0.92	1.55e-05	0.00437	CLEC11A	0
chr1	168592373	168592822	450	*	4.8	5.25	4.15	1.1	1.56e-05	0.00437	XCL1	41058
chr7	116824546	116824867	322	*	2.4	0.44	3.2	-2.76	1.56e-05	0.00437	ST7	0
chr10	14879724	14880833	1110	*	7.35	7.57	7.08	0.49	1.6e-05	0.00444	CDNF; HSPA14	0
chr13	63881326	63881742	417	*	4.19	3.26	4.75	-1.49	1.61e-05	0.00446	LINC00376	80137
chr16	15736364	15737339	976	*	6.12	6.56	5.5	1.06	1.62e-05	0.00446	KIAA0430; NDE1; MIR484	0
chr4	27156316	27156740	425	*	4.17	4.74	3.23	1.51	1.63e-05	0.00446	RP11-415C15.1	14643
chr1	17222947	17223395	449	*	4.29	4.8	3.52	1.28	1.63e-05	0.00446	CROCC	0
chr16	28565088	28565806	719	*	5.93	6.35	5.34	1	1.64e-05	0.00447	CCDC101	0
chr3	3893610	3893928	319	*	2.93	1.37	3.66	-2.29	1.65e-05	0.00448	SUMF1	0
chr7	154624303	154624624	322	*	3.31	3.94	2.17	1.77	1.68e-05	0.0045	DPP6	0
chr1	211786074	211787206	1133	*	7.51	7.72	7.28	0.44	1.68e-05	0.0045	RP11-354K1.2	22041
chr16	30662504	30663133	630	*	5.47	5.85	4.94	0.92	1.69e-05	0.0045	PRR14	0
chr1	21112703	21114134	1432	*	7.92	8.26	7.48	0.78	1.69e-05	0.0045	HP1BP3	0
chr19	39897240	39897746	507	*	5.86	6.31	5.19	1.12	1.69e-05	0.0045	ZFP36	0
chr11	46721809	46722663	855	*	6.61	6.92	6.22	0.7	1.69e-05	0.0045	ARHGAP1; ZNF408	0
chr12	8088395	8089200	806	*	4.59	5.1	3.79	1.3	1.71e-05	0.00455	SLC2A3	0
chr17	28256373	28257617	1245	*	6.18	6.47	5.81	0.67	1.73e-05	0.00458	SSH2; EFCAB5	0
chr9	33289990	33290856	867	*	7.14	7.43	6.78	0.65	1.74e-05	0.00459	NFX1	0
chr17	61904307	61905219	913	*	6.27	6.58	5.88	0.7	1.75e-05	0.00461	FTSJ3; PSMC5	0
chr22	36924847	36925732	886	*	6.75	7.14	6.22	0.92	1.76e-05	0.00462	EIF3D	0
chr1	33895963	33897049	1087	*	6.94	7.19	6.65	0.54	1.79e-05	0.00468	PHC2	0
chr10	73610529	73611282	754	*	6.44	6.83	5.92	0.91	1.81e-05	0.00472	PSAP	0
chr19	16652752	16653739	988	*	6.23	6.69	5.54	1.15	1.84e-05	0.00478	CTD-3222D19.2; CHERP; CTD-3222D19.7	0
chr10	11183409	11183878	470	*	4.03	3.16	4.57	-1.42	1.85e-05	0.00478	CELF2	0
chr3	40300078	40300521	444	*	4.25	4.75	3.47	1.28	1.85e-05	0.00478	MYRIP	0
chr17	31149359	31149957	599	*	8.29	8.67	7.77	0.9	1.87e-05	0.0048	MYO1D	0
chr17	41149944	41150800	857	*	6.37	6.69	5.95	0.74	1.88e-05	0.00482	Y_RNA; RPL27	0
chr12	6976080	6977451	1372	*	6.82	7.28	6.14	1.13	1.9e-05	0.00486	TPI1	0
chr1	202584528	202585905	1378	*	7.11	7.33	6.86	0.47	1.91e-05	0.00488	SYT2	0
chr16	4233219	4234287	1069	*	6.68	7.04	6.19	0.86	1.95e-05	0.00493	RP11-95P2.3	0
chr20	361306	362190	885	*	6.53	6.87	6.07	0.8	1.95e-05	0.00493	TRIB3	0
chr3	49966829	49967806	978	*	6.25	6.55	5.86	0.68	1.97e-05	0.00496	MON1A	0
chr16	11349037	11350443	1407	*	7.37	7.82	6.7	1.12	1.97e-05	0.00496	RMI2; SOCS1	0
chr6	111196234	111197739	1506	*	7.37	7.7	6.94	0.76	1.99e-05	0.00499	AMD1	0
chr11	65769364	65770494	1131	*	6.37	6.74	5.87	0.87	2.01e-05	0.00502	EIF1AD; BANF1	0
chr12	124950555	124951410	856	*	6.81	7.08	6.48	0.59	2.02e-05	0.00502	NCOR2	0
chr16	31044104	31045123	1020	*	6.73	7	6.38	0.62	2.05e-05	0.00509	STX4	0
chr22	26879261	26880134	874	*	6.06	6.44	5.55	0.89	2.06e-05	0.00509	HPS4; SRRD	0
chr3	53303849	53304573	725	*	6.5	6.8	6.13	0.67	2.06e-05	0.00509	snoU13	12642
chr19	40931293	40932299	1007	*	6.96	7.36	6.39	0.97	2.1e-05	0.00516	SERTAD1	0
chr20	16688314	16688727	414	*	4.65	3.9	5.13	-1.23	2.11e-05	0.00516	RP4-705D16.3	6761
chr3	115155418	115156164	747	*	6.3	6.6	5.92	0.68	2.11e-05	0.00516	RP11-190P13.2	151224
chr9	90328283	90328825	543	*	4.69	5.15	4.02	1.13	2.12e-05	0.00516	DAPK1	4735
chr5	10975888	10976440	553	*	3.91	2.96	4.47	-1.51	2.12e-05	0.00516	CTNND2	0
chr11	64645532	64646649	1118	*	7.18	7.61	6.58	1.02	2.16e-05	0.00523	EHD1	0
chr17	43226609	43226989	381	*	4.83	5.3	4.14	1.16	2.19e-05	0.00528	HEXIM1	0
chr17	73775056	73776235	1180	*	7.09	7.52	6.47	1.05	2.22e-05	0.00534	H3F3B	0
chr3	2756499	2756880	382	*	3.95	3	4.51	-1.51	2.23e-05	0.00535	CNTN4	0
chr19	56915100	56916159	1060	*	7.41	7.64	7.14	0.5	2.25e-05	0.00537	ZNF583	0
chr13	110295231	110295894	664	*	3.82	2.88	4.38	-1.51	2.25e-05	0.00537	LINC00676	84734
chr11	61734602	61735531	930	*	6.13	6.64	5.33	1.3	2.28e-05	0.00542	FTH1; AP003733.1	0
chr16	4730147	4730563	417	*	5.24	5.64	4.7	0.94	2.31e-05	0.00546	MGRN1	0
chr17	72868751	72869884	1134	*	7.52	7.81	7.16	0.65	2.39e-05	0.00564	FDXR	0
chr8	22572862	22573895	1034	*	6.73	7	6.4	0.6	2.42e-05	0.0057	RP11-459E5.1; PEBP4	0
chr3	81533676	81534025	350	*	4.12	3.21	4.67	-1.46	2.45e-05	0.00574	GBE1	4824
chr19	49496298	49497355	1058	*	7.31	7.66	6.84	0.82	2.45e-05	0.00574	GYS1; RUVBL2	0
chr15	65596909	65597828	920	*	6.15	6.61	5.47	1.14	2.47e-05	0.00577	RNU5B-1	0
chr20	31349719	31350828	1110	*	6.28	6.6	5.86	0.74	2.48e-05	0.00577	DNMT3B	0
chr13	99136996	99137537	542	*	5.54	5.9	5.05	0.85	2.49e-05	0.00577	STK24	0
chr19	45250602	45251143	542	*	4.66	5.13	3.94	1.19	2.55e-05	0.0059	BCL3	0
chr7	83968714	83969011	298	*	3.92	2.94	4.5	-1.56	2.6e-05	0.00598	SEMA3A	0
chr19	46145226	46145927	702	*	5.5	5.96	4.82	1.14	2.6e-05	0.00598	EML2; AC006132.1	0
chr5	119656289	119656634	346	*	3.12	1.85	3.79	-1.94	2.62e-05	0.006	CTC-552D5.1	0
chr14	23563740	23565014	1275	*	7.77	8.03	7.46	0.56	2.65e-05	0.00605	ACIN1; C14orf119	0
chr22	30054046	30054721	676	*	5.13	5.52	4.6	0.91	2.65e-05	0.00605	NF2	0
chr10	85955716	85956268	553	*	5.07	4.48	5.49	-1	2.69e-05	0.0061	CDHR1	0
chr6	44355089	44356157	1069	*	7.32	7.56	7.03	0.54	2.69e-05	0.0061	CDC5L	0
chr16	51465402	51465879	478	*	5.57	5.94	5.07	0.87	2.71e-05	0.00613	RP11-437L7.1	74959
chr16	46404905	46405211	307	*	4.67	5.13	3.98	1.15	2.77e-05	0.00623	ANKRD26P1	98041
chr2	76676062	76676427	366	*	3.94	2.99	4.51	-1.52	2.78e-05	0.00623	RN7SKP203	3526
chr14	75745087	75746103	1017	*	6.96	7.34	6.43	0.91	2.78e-05	0.00623	FOS	0
chr4	107504692	107505075	384	*	4.72	5.17	4.07	1.1	2.79e-05	0.00623	RP13-612N21.1	130087
chr16	46395327	46395547	221	*	5.08	5.53	4.41	1.12	2.8e-05	0.00625	ANKRD26P1	107705
chr1	25573374	25574598	1225	*	6.89	7.26	6.39	0.86	2.82e-05	0.00625	C1orf63; RP3-465N24.6	0
chr8	109132386	109132933	548	*	5.64	6	5.16	0.83	2.84e-05	0.00628	AP001331.1	10394
chr1	155829775	155830547	773	*	5.85	6.27	5.25	1.02	2.85e-05	0.0063	SYT11	0
chr7	28448465	28449255	791	*	7.12	7.37	6.82	0.55	2.87e-05	0.00632	CREB5	0
chr13	102318047	102318669	623	*	4.35	3.6	4.84	-1.24	2.89e-05	0.00634	ITGBL1	0
chr12	53614515	53615247	733	*	5.68	6.02	5.23	0.8	2.9e-05	0.00634	RARG	0
chr4	122627852	122628227	376	*	4.49	4.95	3.82	1.12	2.93e-05	0.00635	ANXA5	9584
chr17	77005396	77006428	1033	*	6.06	6.41	5.59	0.83	2.93e-05	0.00635	CANT1	0
chr2	69405287	69405815	529	*	6.5	6.81	6.1	0.7	2.93e-05	0.00635	ANTXR1	0
chr21	35917225	35918169	945	*	5.83	6.15	5.42	0.72	2.93e-05	0.00635	RCAN1	0
chr22	50246866	50248138	1273	*	7.71	8.07	7.23	0.84	2.97e-05	0.00642	ZBED4	0
chr21	35445248	35446554	1307	*	7.15	7.55	6.6	0.96	3.02e-05	0.00648	MRPS6; SLC5A3; SLC5A3; AP000320.7	0
chr19	14800376	14801245	870	*	6.41	6.78	5.91	0.88	3.03e-05	0.00648	EMR3; ZNF333	0
chr19	49122189	49122965	777	*	6.87	7.22	6.41	0.82	3.03e-05	0.00648	RPL18; AC022154.7; SPHK2	0
chr10	6244417	6245756	1340	*	7.41	7.77	6.94	0.83	3.05e-05	0.00652	PFKFB3; RP11-414H17.5	0
chr4	76649251	76650559	1309	*	7.95	8.2	7.66	0.54	3.07e-05	0.00655	G3BP2; USO1	0
chr8	118452143	118452507	365	*	5.33	4.77	5.73	-0.96	3.1e-05	0.00655	MED30	80444
chr18	47807571	47808402	832	*	7.73	8.02	7.37	0.64	3.1e-05	0.00655	MBD1	0
chr2	211939862	211940393	532	*	5.69	5.24	6.03	-0.79	3.1e-05	0.00655	RP11-212J19.1	29264
chr2	68694117	68695036	920	*	7.58	7.83	7.26	0.57	3.11e-05	0.00655	FBXO48; APLF	0
chr12	90057279	90057713	435	*	3.21	1.91	3.88	-1.97	3.16e-05	0.00664	ATP2B1	0
chr17	48277647	48278372	726	*	5.09	5.49	4.54	0.95	3.19e-05	0.00667	COL1A1	0
chr12	57480900	57481284	385	*	5.47	5.92	4.82	1.1	3.19e-05	0.00667	TMEM194A	0
chr19	14191799	14192798	1000	*	5.77	6.18	5.18	1	3.21e-05	0.00668	C19orf67	0
chr17	43238326	43239356	1031	*	6.64	7.06	6.04	1.02	3.21e-05	0.00668	AC002117.1; HEXIM2	0
chr19	11071064	11072205	1142	*	7.31	7.72	6.73	0.99	3.22e-05	0.00668	SMARCA4	0
chr12	113658569	113659578	1010	*	7.68	8	7.29	0.71	3.26e-05	0.00673	IQCD; TPCN1	0
chr19	14628511	14629846	1336	*	7.56	8.02	6.89	1.13	3.37e-05	0.00696	DNAJB1; TECR	0
chr1	154599604	154600646	1043	*	5.4	5.77	4.92	0.85	3.4e-05	0.00696	ADAR	0
chr22	41487191	41488882	1692	*	7.59	7.94	7.14	0.8	3.4e-05	0.00696	EP300; MIR1281	0
chr8	99128961	99130062	1102	*	7.63	7.84	7.39	0.45	3.4e-05	0.00696	HRSP12; POP1	0
chr12	75167396	75167815	420	*	2.55	0.91	3.29	-2.38	3.48e-05	0.0071	RP11-361A23.3	44765
chr6	19587248	19588197	950	*	5.71	5.25	6.05	-0.8	3.49e-05	0.0071	RP1-167F1.2	0
chr9	136218831	136219129	299	*	4.84	5.29	4.19	1.1	3.51e-05	0.00711	SURF1	0
chr1	154580374	154581010	637	*	5.29	5.67	4.77	0.9	3.51e-05	0.00711	ADAR	0
chr6	138914342	138914668	327	*	4.39	4.89	3.61	1.28	3.54e-05	0.00714	NHSL1	0
chr1	45986974	45988009	1036	*	6.89	7.21	6.46	0.75	3.55e-05	0.00715	PRDX1	0
chr10	73648350	73649094	745	*	6.73	6.99	6.41	0.58	3.57e-05	0.00717	RP11-472G21.2	9485
chr12	20704294	20704570	277	*	6.93	7.27	6.5	0.77	3.59e-05	0.00719	PDE3A; RP11-424C20.2	0
chr11	79765665	79766158	494	*	4.14	3.33	4.66	-1.33	3.62e-05	0.00722	RP11-885L14.1	64992
chr6	42858046	42858980	935	*	7.15	7.44	6.78	0.66	3.63e-05	0.00722	C6orf226	0
chr11	64072231	64073416	1186	*	7.67	8.05	7.15	0.89	3.63e-05	0.00722	RP11-783K16.10; TEX40; ESRRA	0
chr8	21966405	21967416	1012	*	7.54	7.81	7.22	0.58	3.65e-05	0.00722	NUDT18	0
chr13	31735442	31736767	1326	*	7.39	7.76	6.91	0.85	3.66e-05	0.00722	HSPH1	0
chr11	65382557	65383542	986	*	7.35	7.73	6.82	0.91	3.66e-05	0.00722	MAP3K11; PCNXL3	0
chr14	90863720	90864927	1208	*	6.52	6.89	6.02	0.86	3.67e-05	0.00723	CALM1	0
chr5	151124577	151125125	549	*	5.06	5.47	4.49	0.98	3.69e-05	0.00724	ATOX1	0
chr16	46435410	46435622	213	*	3.98	4.52	3.12	1.39	3.7e-05	0.00724	ANKRD26P1	67630
chr11	64084804	64085987	1184	*	6.92	7.24	6.51	0.74	3.72e-05	0.00724	TRMT112; PRDX5	0
chr15	59040996	59042411	1416	*	7.77	8.05	7.4	0.65	3.72e-05	0.00724	ADAM10	0
chr13	58659921	58660289	369	*	3.9	2.98	4.46	-1.48	3.73e-05	0.00724	RNA5SP30	94323
chr19	18391754	18393215	1462	*	8.21	8.66	7.55	1.11	3.74e-05	0.00724	JUND; MIR3188	0
chr3	154052794	154052991	198	*	2.33	0.44	3.13	-2.69	3.77e-05	0.0073	GPR149	2469
chr19	46195050	46196262	1213	*	7.41	7.73	6.98	0.75	3.79e-05	0.00731	SNRPD2; QPCTL	0
chr17	7142711	7143316	606	*	6.37	6.81	5.74	1.08	3.79e-05	0.00731	PHF23	0
chrY	23457064	23457522	459	*	4.4	3.63	4.9	-1.27	3.81e-05	0.00731	AC010086.1	15631
chr20	26188777	26189170	394	*	7.63	8	7.14	0.85	3.82e-05	0.00731	MIR663A	0
chr5	139365198	139365718	521	*	4.09	4.6	3.26	1.34	3.9e-05	0.00744	NRG2	0
chr16	21610346	21611669	1324	*	6.95	7.24	6.58	0.66	3.91e-05	0.00745	METTL9	0
chr4	74768929	74769301	373	*	3.34	2.15	3.98	-1.83	3.96e-05	0.00752	CXCL1	31970
chr19	47777290	47778469	1180	*	6.92	7.36	6.3	1.06	4.01e-05	0.00761	PRR24	0
chr19	1478747	1479771	1025	*	6.07	6.39	5.65	0.74	4.05e-05	0.00766	C19orf25	0
chr11	587888	588407	520	*	5.4	5.75	4.93	0.82	4.09e-05	0.00773	PHRF1	0
chr17	27053925	27054218	294	*	5.07	5.52	4.41	1.11	4.12e-05	0.00777	TLCD1; NEK8	0
chr22	24950651	24952107	1457	*	7.44	7.79	6.97	0.82	4.17e-05	0.00784	GUCD1; SNRPD3	0
chr6	31587725	31589030	1306	*	7.49	7.86	6.98	0.88	4.19e-05	0.00786	PRRC2A	0
chr16	46408570	46408743	174	*	3.71	4.28	2.76	1.52	4.26e-05	0.00796	ANKRD26P1	94509
chr17	16283854	16284978	1125	*	5.83	6.21	5.3	0.91	4.28e-05	0.00798	UBB	0
chr3	16830877	16831313	437	*	4.3	3.52	4.8	-1.28	4.33e-05	0.00806	PLCL2	12845
chr19	1252226	1253448	1223	*	7.04	7.5	6.37	1.12	4.37e-05	0.0081	MIDN	0
chr3	15247313	15248382	1070	*	7.52	7.78	7.21	0.56	4.37e-05	0.0081	COL6A4P1; CAPN7	0
chr15	41785339	41786328	990	*	5.84	6.16	5.42	0.74	4.4e-05	0.00813	ITPKA	0
chr6	155307848	155308177	330	*	2.86	1.39	3.57	-2.18	4.45e-05	0.00821	TIAM2	0
chr19	49375389	49376450	1062	*	6.25	6.57	5.85	0.71	4.47e-05	0.00821	PPP1R15A	0
chr1	155107934	155108622	689	*	5.99	6.35	5.52	0.83	4.49e-05	0.00821	SLC50A1	0
chr1	39657806	39658335	530	*	4.15	4.64	3.4	1.24	4.49e-05	0.00821	MACF1	0
chr17	80186633	80187214	582	*	5.64	6.1	4.98	1.12	4.5e-05	0.00821	SLC16A3	0
chr17	79479365	79480305	941	*	6.87	7.26	6.33	0.93	4.51e-05	0.00821	ACTG1; RP13-766D20.1	0
chr1	243264742	243265332	591	*	3.98	3.08	4.52	-1.44	4.52e-05	0.00821	RP11-261C10.3	0
chr6	91078664	91079229	566	*	6.02	6.37	5.56	0.81	4.53e-05	0.00821	RP1-45N11.1	6313
chr4	59956898	59957746	849	*	5.74	5.29	6.09	-0.8	4.55e-05	0.00823	RP11-340A13.3	15924
chr2	82062349	82062806	458	*	3.41	2.29	4.03	-1.74	4.56e-05	0.00823	RN7SL201P	131396
chr12	50418748	50419722	975	*	6.29	6.59	5.91	0.68	4.58e-05	0.00825	RACGAP1	0
chr8	26240156	26241418	1263	*	8.35	8.57	8.08	0.49	4.64e-05	0.00834	SDAD1P1; BNIP3L	0
chr10	14645801	14646786	986	*	6.88	7.21	6.46	0.75	4.67e-05	0.00834	FAM107B	0
chr5	137839472	137839974	503	*	4.01	4.53	3.18	1.36	4.67e-05	0.00834	ETF1	1809
chr8	24857451	24858483	1033	*	7.03	7.26	6.75	0.52	4.68e-05	0.00834	CTD-2168K21.1	0
chr19	19143897	19144816	920	*	6.65	6.96	6.26	0.69	4.69e-05	0.00835	SUGP2; ARMC6	0
chr7	1543586	1544406	821	*	6.46	6.72	6.15	0.58	4.75e-05	0.00844	INTS1	0
chr4	132169530	132169946	417	*	4.17	3.32	4.7	-1.38	4.77e-05	0.00846	RNU6-224P	24450
chr7	142782191	142782641	451	*	3.81	2.89	4.36	-1.47	4.81e-05	0.0085	OR6W1P	21456
chr14	85909339	85909725	387	*	4.25	4.74	3.53	1.21	4.87e-05	0.00858	CTD-2128A3.2	0
chr1	150576950	150577527	578	*	3.5	4.07	2.56	1.51	4.89e-05	0.00858	ENSA	0
chr11	65686280	65687301	1022	*	6.89	7.38	6.13	1.25	4.9e-05	0.00858	C11orf68; DRAP1	0
chr6	31875069	31875560	492	*	4.93	5.38	4.28	1.1	4.9e-05	0.00858	C2	0
chr16	29937092	29938060	969	*	6.11	6.5	5.57	0.93	4.93e-05	0.0086	KCTD13	0
chr19	10676295	10677059	765	*	6.74	7.18	6.1	1.09	4.94e-05	0.0086	KRI1	0
chr19	42787643	42788823	1181	*	7.14	7.53	6.59	0.94	4.95e-05	0.0086	CIC	0
chr19	42748871	42749243	373	*	5.49	5.9	4.91	0.99	4.95e-05	0.0086	AC006486.9; AC006486.1	0
chr1	206858055	206859683	1629	*	7.76	8.01	7.45	0.56	4.97e-05	0.0086	MAPKAPK2	0
chr3	60003408	60003783	376	*	3.46	2.41	4.06	-1.65	4.98e-05	0.0086	FHIT	0
chr17	4268406	4270335	1930	*	7.6	7.99	7.07	0.92	4.99e-05	0.00861	UBE2G1	0
chr1	121478550	121478770	221	*	4.44	4.89	3.78	1.11	5.02e-05	0.00863	RP11-344P13.1	156228
chr2	9470857	9471383	527	*	4.76	4.14	5.19	-1.05	5.03e-05	0.00863	ASAP2	0
chr17	27619569	27620459	891	*	6.13	6.54	5.54	1.01	5.04e-05	0.00863	NUFIP2	0
chr10	99496381	99497607	1227	*	6.65	6.9	6.34	0.56	5.05e-05	0.00863	ZFYVE27	0
chr3	50654050	50655052	1003	*	7.41	7.65	7.12	0.53	5.07e-05	0.00863	MAPKAPK3	0
chr17	42200549	42201659	1111	*	5.99	6.35	5.52	0.82	5.07e-05	0.00863	HDAC5	0
chr1	74978944	74979440	497	*	4.41	3.63	4.92	-1.28	5.08e-05	0.00863	FPGT-TNNI3K; TNNI3K	0
chr17	45726482	45727504	1023	*	7.73	8.1	7.24	0.86	5.18e-05	0.00879	RP11-580I16.2; KPNB1	0
chr15	25984922	25985286	365	*	4.48	3.74	4.97	-1.23	5.23e-05	0.00883	ATP10A	0
chrY	19197077	19197766	690	*	4.65	3.97	5.11	-1.14	5.23e-05	0.00883	SURF6P1	106939
chrX	35071862	35072253	392	*	3.14	1.86	3.8	-1.95	5.26e-05	0.00885	AL596268.1	2194
chr19	1020828	1021915	1088	*	6.61	7.01	6.04	0.97	5.32e-05	0.00894	TMEM259; RNU6-2	0
chr15	75746172	75747001	830	*	7.64	8.01	7.14	0.86	5.34e-05	0.00894	SIN3A	0
chr10	104212431	104213046	616	*	6.62	6.88	6.3	0.58	5.35e-05	0.00894	RP11-18I14.10	0
chr1	204026860	204027208	349	*	3.42	4.01	2.4	1.6	5.35e-05	0.00894	SOX13	15034
chr7	85059009	85059309	301	*	2.58	0.81	3.35	-2.54	5.37e-05	0.00895	LINC00972	0
chr17	45972984	45974170	1187	*	7.57	7.83	7.25	0.59	5.42e-05	0.00896	RP11-6N17.4; SP2	0
chr6	43138597	43139475	879	*	7.62	7.94	7.21	0.73	5.44e-05	0.00896	SRF	0
chr7	109422835	109423210	376	*	4.08	3.28	4.59	-1.31	5.45e-05	0.00896	RP11-10E6.1	18421
chr20	20595542	20595944	403	*	3.52	4.13	2.44	1.68	5.45e-05	0.00896	RALGAPA2	0
chr3	163156596	163156973	378	*	3.84	2.92	4.4	-1.48	5.45e-05	0.00896	RP11-418B12.1	35881
chr11	62572459	62573356	898	*	6.96	7.4	6.32	1.07	5.45e-05	0.00896	NXF1	0
chr16	46407615	46407812	198	*	4.64	5.08	4.01	1.07	5.46e-05	0.00896	ANKRD26P1	95440
chr5	25033110	25033682	573	*	4.49	3.78	4.97	-1.19	5.5e-05	0.00901	RP11-549K20.1	92731
chr11	66885693	66886872	1180	*	7.28	7.7	6.7	1	5.54e-05	0.00905	KDM2A	0
chr17	7232269	7233898	1630	*	7.27	7.7	6.65	1.05	5.54e-05	0.00905	NEURL4; AC026954.6	0
chr11	62432379	62433417	1039	*	6.61	6.99	6.1	0.89	5.61e-05	0.00913	RP11-831H9.11; C11orf48; METTL12; SNORA57	0
chr2	70313340	70314901	1562	*	7.24	7.62	6.72	0.89	5.66e-05	0.00919	PCBP1-AS1; PCBP1	0
chr22	28314568	28315811	1244	*	6.85	7.17	6.43	0.74	5.67e-05	0.0092	PITPNB; TTC28-AS1	0
chr22	35695440	35696696	1257	*	7.23	7.6	6.74	0.86	5.69e-05	0.00921	RP3-510H16.3; TOM1	0
chr4	68166217	68166500	284	*	2.89	1.51	3.58	-2.08	5.76e-05	0.0093	RP11-584P21.2	116522
chr11	76155429	76157086	1658	*	7.73	7.97	7.45	0.52	5.82e-05	0.00934	RP11-111M22.3; C11orf30	0
chr19	47729255	47730074	820	*	6.66	7.12	5.99	1.13	5.83e-05	0.00934	BBC3	0
chr1	161708427	161709176	750	*	5.73	6.09	5.25	0.84	5.84e-05	0.00934	RN7SL466P	2538
chr16	33964786	33965041	256	*	6.4	6.72	6	0.72	5.86e-05	0.00934	RNA5-8SP2	384
chr19	506634	508010	1377	*	7.47	7.8	7.04	0.76	5.86e-05	0.00934	AC005775.2; TPGS1	0
chr18	25029135	25029580	446	*	3.32	2.19	3.95	-1.76	5.86e-05	0.00934	RP11-739N10.1	0
chr11	65149553	65150240	688	*	5.86	6.18	5.43	0.75	5.86e-05	0.00934	SLC25A45	0
chr4	148604922	148605851	930	*	7.72	7.91	7.51	0.4	5.96e-05	0.00947	PRMT10	0
chr22	38349254	38350061	808	*	5.45	5.8	4.99	0.81	6.01e-05	0.0095	C22orf23; POLR2F	0
chr2	210686603	210686951	349	*	3.51	2.5	4.1	-1.61	6.02e-05	0.0095	UNC80	0
chr12	108955877	108957036	1160	*	7.12	7.45	6.7	0.75	6.02e-05	0.0095	ISCU	0
chr19	39900154	39901032	879	*	6.61	7.05	5.97	1.08	6.03e-05	0.0095	MIR4530	0
chr4	156690191	156690583	393	*	4.05	3.23	4.56	-1.33	6.09e-05	0.00959	GUCY1B3	0
chr16	11836145	11837138	994	*	7.11	7.42	6.71	0.72	6.14e-05	0.00964	TXNDC11; RP11-490O6.2	0
chr2	13246453	13246820	368	*	5.31	4.8	5.68	-0.88	6.15e-05	0.00964	AC064875.2	99315
chr1	247875231	247875802	572	*	5.19	5.58	4.65	0.93	6.2e-05	0.00968	RP11-634B7.4; OR6F1; RP11-634B7.5	0
chr17	73662953	73663711	759	*	5.77	6.13	5.3	0.83	6.21e-05	0.00968	RECQL5; SAP30BP	0
chr10	73620025	73620657	633	*	4.86	5.3	4.23	1.06	6.22e-05	0.00968	PSAP	8899
